miRNA_name,LX-2,LX-2A,S-T1,S-T1A,H-T2,H-T2A
hsa-miR-27a-3p,546799,307019,835469,826801,204033,401682
hsa-miR-27a-5p,3958,3246,6497,10620,2411,8110
hsa-miR-27b-3p,388542,92479,724580,172020,193185,228595
hsa-miR-27b-5p,922,1196,1960,2866,916,6137
hsa-miR-28-3p,3018,4567,1233,2219,3526,2722
hsa-miR-28-5p,18337,24324,7786,13723,17177,19207
hsa-miR-296-3p,3210,2155,129,810,3,18
hsa-miR-296-5p,10014,3630,93,4207,2,65
hsa-miR-297,0,0,0,2,0,1
hsa-miR-299-3p,3890,1626,7,1,3,1
hsa-miR-299-5p,787,392,3,0,0,0
hsa-miR-29a-3p,1654,1549,209,358,1188,1682
hsa-miR-29a-5p,2640,924,336,312,1260,1596
hsa-miR-29b-1-5p,6645,4843,2877,1792,2008,9478
hsa-miR-29b-2-5p,146,78,438,611,523,445
hsa-miR-29b-3p,30511,4447,2571,5787,15087,24964
hsa-miR-29c-3p,3867,145,524,614,2966,583
hsa-miR-29c-5p,1983,2267,1685,8336,2950,5054
hsa-miR-301a-3p,1041,1136,8399,2618,2016,2067
hsa-miR-301a-5p,11,9,8,38,35,9
hsa-miR-301b-3p,137,197,187,124,246,252
hsa-miR-301b-5p,1,0,0,2,5,3
hsa-miR-302a-3p,8,3,11,0,0,0
hsa-miR-302a-5p,0,1,1,0,1,0
hsa-miR-302b-3p,8,1,11,1,0,1
hsa-miR-302c-3p,3,0,5,0,0,1
hsa-miR-302d-3p,10,1,6,0,0,0
hsa-miR-3064-3p,4,4,0,24,7,13
hsa-miR-3064-5p,23,25,157,52,44,51
hsa-miR-3065-3p,10,18,158,75,107,155
hsa-miR-3065-5p,6,14,390,47,261,178
hsa-miR-3074-3p,71,39,90,85,12,13
hsa-miR-3074-5p,30,24,7,20,3,11
hsa-miR-30a-3p,3922,4009,4653,15312,443,793
hsa-miR-30a-5p,50782,10362,141983,51560,81491,2462
hsa-miR-30b-3p,720,354,914,909,784,629
hsa-miR-30b-5p,16522,6200,10266,19365,24800,16457
hsa-miR-30c-1-3p,162,126,83,366,67,139
hsa-miR-30c-2-3p,796,618,1883,2544,78,105
hsa-miR-30c-5p,5947,4125,9520,20865,6019,4366
hsa-miR-30d-3p,406,544,848,1796,651,1574
hsa-miR-30d-5p,46518,15422,141962,50142,84706,39294
hsa-miR-30e-3p,3356,1476,2650,2669,301,1004
hsa-miR-30e-5p,25842,1536,48580,4071,5036,1383
hsa-miR-3115,9,5,109,41,40,22
hsa-miR-3117-3p,69,59,1,0,4,1
hsa-miR-3118,0,0,2,3,1,3
hsa-miR-3121-3p,14,6,63,10,8,3
hsa-miR-3121-5p,7,3,5,5,3,3
hsa-miR-3122,2,1,0,0,0,2
hsa-miR-3124-3p,0,1,3,2,2,1
hsa-miR-3124-5p,26,17,21,49,10,32
hsa-miR-3126-3p,24,59,122,105,1,1
hsa-miR-3126-5p,33,29,102,101,0,1
hsa-miR-3127-3p,13,20,71,57,15,11
hsa-miR-3127-5p,46,24,60,64,32,16
hsa-miR-3128,4,0,1,4,6,5
hsa-miR-3129-3p,124,143,39,1,5,6
hsa-miR-3130-3p,178,80,25,7,9,14
hsa-miR-3130-5p,132,199,102,121,77,148
hsa-miR-3131,3,1,61,3,0,1
hsa-miR-3132,2,3,6,0,0,0
hsa-miR-3134,30,19,23,15,14,13
hsa-miR-3135a,2,1,1,3,0,0
hsa-miR-3135b,0,0,2,2,0,1
hsa-miR-3136-3p,21,4,1,6,7,4
hsa-miR-3136-5p,69,34,13,38,23,20
hsa-miR-3137,1,1,4,1,11,11
hsa-miR-3138,120,64,72,29,50,39
hsa-miR-3139,3,3,19,7,5,12
hsa-miR-31-3p,51411,14240,17923,9531,6770,11260
hsa-miR-3140-3p,22,9,35,8,42,32
hsa-miR-3140-5p,1,0,0,0,5,1
hsa-miR-3141,13,1,0,2,3,4
hsa-miR-3143,6,4,23,43,25,3
hsa-miR-3144-3p,4,6,0,5,20,40
hsa-miR-3144-5p,0,1,0,1,17,5
hsa-miR-3145-3p,1,0,3,2,18,9
hsa-miR-3146,5,7,58,18,34,22
hsa-miR-3148,32,6,1,1,8,3
hsa-miR-3149,3,0,9,1,6,7
hsa-miR-3150a-3p,39,17,64,16,19,23
hsa-miR-3150a-5p,58,28,55,16,12,32
hsa-miR-3150b-5p,1,0,0,1,0,3
hsa-miR-3152-3p,3,1,0,0,0,0
hsa-miR-3152-5p,103,92,6,10,3,0
hsa-miR-3155a,2,1,0,1,1,0
hsa-miR-3155b,2,0,0,1,1,0
hsa-miR-3157-3p,28,20,8,12,10,27
hsa-miR-3157-5p,191,147,56,82,40,206
hsa-miR-3158-3p,64,20,8,15,5,10
hsa-miR-3159,0,0,7,1,3,3
hsa-miR-31-5p,363803,80145,119206,16292,55893,52186
hsa-miR-3161,11,4,0,0,0,0
hsa-miR-3162-3p,1,1,1,1,8,0
hsa-miR-3162-5p,6,2,4,4,9,2
hsa-miR-3163,11,3,54,11,8,7
hsa-miR-3164,10,12,27,9,20,23
hsa-miR-3165,19,1,3,5,4,8
hsa-miR-3166,0,0,0,0,2,16
hsa-miR-3167,20,6,0,0,0,0
hsa-miR-3170,4,4,0,4,0,0
hsa-miR-3173-3p,33,7,39,3,13,3
hsa-miR-3173-5p,158,202,218,160,93,174
hsa-miR-3174,3,6,32,15,47,47
hsa-miR-3175,0,0,8,1,7,2
hsa-miR-3176,17,3,90,19,118,93
hsa-miR-3177-3p,66,38,346,145,201,116
hsa-miR-3177-5p,6,16,102,18,18,33
hsa-miR-3179,31,10,26,27,45,50
hsa-miR-3180,44,11,89,35,49,41
hsa-miR-3180-3p,44,11,89,35,49,41
hsa-miR-3180-5p,16,6,11,6,6,12
hsa-miR-3181,1,3,0,3,0,1
hsa-miR-3184-3p,0,1,0,3,0,0
hsa-miR-3186-3p,0,0,0,10,3,7
hsa-miR-3186-5p,0,0,0,45,33,63
hsa-miR-3187-3p,179,164,5227,586,353,293
hsa-miR-3187-5p,6,1,5,2,3,2
hsa-miR-3188,4,2,108,25,17,15
hsa-miR-3189-3p,0,0,21,18,11,52
hsa-miR-3189-5p,0,1,7,2,4,4
hsa-miR-3190-3p,1,2,71,10,9,19
hsa-miR-3190-5p,0,0,7,4,3,12
hsa-miR-3191-3p,2,0,27,7,7,10
hsa-miR-3191-5p,5,6,7,11,1,19
hsa-miR-3192-5p,7,19,19,7,14,16
hsa-miR-3194-3p,7,0,3,5,3,2
hsa-miR-3194-5p,0,0,7,3,3,8
hsa-miR-3198,0,4,26,11,20,7
hsa-miR-3199,56,27,8,14,9,10
hsa-miR-3200-3p,48,46,548,102,52,65
hsa-miR-3200-5p,10,8,1253,27,24,22
hsa-miR-3202,3,0,2,0,3,1
hsa-miR-320a,40005,30247,228963,116679,144580,59093
hsa-miR-320b,23125,1415,162261,11407,105321,9717
hsa-miR-320c,2053,605,29954,6276,13516,6061
hsa-miR-320d,662,230,14706,2933,6355,3155
hsa-miR-320e,663,7,14395,145,6082,87
hsa-miR-323a-3p,2834,5472,69,5,19,2
hsa-miR-323a-5p,77,274,30,1,1,0
hsa-miR-323b-3p,322,671,4,1,0,1
hsa-miR-32-3p,461,563,520,1641,376,1248
hsa-miR-324-3p,1725,938,1101,1953,1796,2462
hsa-miR-324-5p,621,306,1354,654,1080,1520
hsa-miR-32-5p,8119,4030,2623,5315,3393,6575
hsa-miR-326,223,85,48,458,160,351
hsa-miR-328-3p,231,616,922,1224,1808,2269
hsa-miR-328-5p,7,1,37,0,9,3
hsa-miR-329-3p,734,119,0,0,0,0
hsa-miR-329-5p,44,82,4,0,0,0
hsa-miR-330-3p,196,185,6850,3007,1350,1225
hsa-miR-330-5p,80,115,3029,1677,1200,1726
hsa-miR-331-3p,287,153,178,607,713,734
hsa-miR-331-5p,75,27,184,107,148,181
hsa-miR-335-3p,2794,2267,84,2647,1815,1504
hsa-miR-335-5p,21802,5801,102,1409,1034,1051
hsa-miR-337-3p,5449,15059,0,2,48,32
hsa-miR-337-5p,1465,466,0,0,3,3
hsa-miR-338-3p,6,11,26,3433,4,81
hsa-miR-338-5p,5,30,151,10817,7,242
hsa-miR-339-3p,3205,1180,2811,1635,1545,3670
hsa-miR-339-5p,532,1124,117,1617,675,1082
hsa-miR-33a-3p,224,93,86,199,36,60
hsa-miR-33a-5p,25134,15081,23082,22597,11074,11808
hsa-miR-33b-3p,448,425,970,4041,458,2930
hsa-miR-33b-5p,5,18,19,40,81,94
hsa-miR-340-3p,423,1439,2030,2860,1115,1892
hsa-miR-340-5p,6268,3045,6924,7344,7898,4907
hsa-miR-342-3p,3,23,134,33,15,30
hsa-miR-342-5p,80,181,3394,274,151,243
hsa-miR-345-3p,2,1,6,2,0,3
